id,nome,caminho_rel,sha256,tamanho_kb,processo_citius,confianca,suporte,cluster,ambiguo,streams,obj_stm,js_tags
1,0002_2026-08-18_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA_JUDICIAL_15547_26_0T8LSB_20260818_150504.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0002_2026-08-18_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA_JUDICIAL_15547_26_0T8LSB_20260818_150504.pdf,b7c0a4a4b1762bedfd6a6b2f61b6f8eda6c7830239ca2c0d5606c428cecb6556,114.16,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,12,0,0
2,0002_2026-08-18_PROC_15547-26.0T8LSB_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA_JUDICIAL_15547_26_0T8LSB_20260818_150504.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0002_2026-08-18_PROC_15547-26.0T8LSB_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA_JUDICIAL_15547_26_0T8LSB_20260818_150504.pdf,b7c0a4a4b1762bedfd6a6b2f61b6f8eda6c7830239ca2c0d5606c428cecb6556,114.16,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,12,0,0
3,0003_2026-08-18_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA__alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0003_2026-08-18_PECA_JUDICIAL_OUTPUT_DOCUMENTOS_CITIUS_PECA__alt.pdf,b7c0a4a4b1762bedfd6a6b2f61b6f8eda6c7830239ca2c0d5606c428cecb6556,114.16,N/A,0.0,NAO_INDICIADO,N/A,NAO,12,0,0
4,0004_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0004_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10.pdf,623796fd72e45466fe144e424987982d560e45897083429228dfbeb3b62623ff,93.11,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
5,0004_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0004_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10.pdf,623796fd72e45466fe144e424987982d560e45897083429228dfbeb3b62623ff,93.11,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
6,0005_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0005_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10_alt.pdf,623796fd72e45466fe144e424987982d560e45897083429228dfbeb3b62623ff,93.11,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
7,0005_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0005_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_10_alt.pdf,623796fd72e45466fe144e424987982d560e45897083429228dfbeb3b62623ff,93.11,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
8,0006_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0006_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11.pdf,37c045ae3ee9cd67a3553c8daa76f122fa3e5bf6d3f1e993e06e59116a880d16,107.44,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
9,0006_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0006_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11.pdf,37c045ae3ee9cd67a3553c8daa76f122fa3e5bf6d3f1e993e06e59116a880d16,107.44,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
10,0007_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0007_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11_alt.pdf,37c045ae3ee9cd67a3553c8daa76f122fa3e5bf6d3f1e993e06e59116a880d16,107.44,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
